Employee_ID,Name,Department,Location,Start_Date,Security_Training,Tool_Access,Role_Training,Compliance,Orientation,Buddy_Assigned,Manager_Feedback_Score,Employee_Satisfaction_Score
1,Joan Conley,Marketing,Hyderabad,2025-06-04,Completed,Pending,Pending,Completed,Pending,Yes,2,8
2,Michael Peters,Design,Remote,2025-06-24,Completed,Completed,Pending,Pending,Pending,No,3,5
3,Taylor Lara,Marketing,Remote,2025-05-21,Pending,Completed,Completed,Completed,Completed,No,3,3
4,Adam Bryant,Product,Remote,2025-06-22,Completed,Pending,Pending,Completed,Completed,Yes,4,1
5,Tyler Mcbride,HR,Bangalore,2025-05-08,Completed,Pending,Completed,Pending,Completed,No,4,3
6,Aaron Nelson,Engineering,Mumbai,2025-06-07,Completed,Completed,Completed,Pending,Completed,No,1,3
7,Lauren Bell DVM,Engineering,Delhi,2025-07-08,Completed,Completed,Completed,Pending,Pending,No,1,2
8,Ms. Alexandra Hawkins,Engineering,Delhi,2025-05-17,Completed,Completed,Pending,Completed,Completed,No,3,7
9,Nicole Sanchez,HR,Bangalore,2025-06-21,Pending,Completed,Completed,Pending,Completed,Yes,2,9
10,Betty Hill,Marketing,Bangalore,2025-05-30,Pending,Completed,Pending,Completed,Pending,Yes,1,3
11,Amber Curry,Design,Hyderabad,2025-06-16,Pending,Completed,Pending,Pending,Pending,Yes,2,10
12,Wendy Strickland,Marketing,Bangalore,2025-05-21,Pending,Pending,Pending,Pending,Pending,No,2,2
13,Kayla Thompson,Engineering,Hyderabad,2025-07-04,Pending,Completed,Completed,Completed,Completed,No,1,7
14,Anne Wu,Engineering,Bangalore,2025-05-09,Pending,Pending,Completed,Completed,Completed,No,2,8
15,Destiny Oliver,Engineering,Hyderabad,2025-05-28,Pending,Pending,Pending,Completed,Completed,No,2,4
16,Tara Smith,HR,Remote,2025-06-24,Completed,Completed,Completed,Completed,Pending,No,5,4
17,Jason Duran,Design,Delhi,2025-07-01,Pending,Pending,Completed,Completed,Pending,Yes,1,3
18,Tony Gates,Product,Mumbai,2025-06-02,Completed,Pending,Completed,Pending,Pending,Yes,5,7
19,Mark Mcgee,Engineering,Remote,2025-06-28,Completed,Completed,Completed,Pending,Completed,Yes,4,6
20,Jessica Wilson,Marketing,Mumbai,2025-05-26,Pending,Completed,Pending,Pending,Pending,No,1,7
21,Kevin Reynolds,HR,Mumbai,2025-07-01,Completed,Completed,Pending,Completed,Completed,No,4,1
22,Michelle Johnson,Product,Mumbai,2025-06-05,Pending,Pending,Completed,Pending,Completed,No,1,4
23,Dylan Howard,Engineering,Delhi,2025-06-07,Completed,Pending,Completed,Pending,Completed,Yes,1,1
